Country,Island/Territory,Shop_Name,Website,Email,Address,Google_Rating,Google_Reviews,TripAdvisor_Rating,TripAdvisor_Reviews,Ratings_AsOf,Ratings_Source_Notes
Mexico,Aruba,JADS Dive Center,https://jadsaruba.com/,info@jadsaruba.com,"Seroe Colorado 245 E, San Nicolas, Aruba",,,4.0,1643,2025-08-20,TA reviews & 'Traveler Rating 4' via aruba.com JADS page; address/email via JADS site.
Mexico,Aruba,Aqua Windie's,https://www.aquawindies.com/,activities@aquawindies.com,"Dr. Horacio E. Oduber Blvd 4, Oranjestad, Aruba",4.7,367,4.0,717,2025-08-20,Google via Wanderlog; TA via aruba.com; address/email via Aqua Windie's site.
Mexico,Aruba,Pure Diving Aruba,https://www.puredivingaruba.com/,dive@puredivingaruba.com,"Bucutiweg z/n, Oranjestad, Aruba",4.7,142,,,2025-08-20,Google via Wanderlog; address/email via PADI + shop site.
Mexico,Aruba,Red Sail Sports Aruba (PADI Dive Center),https://www.aruba-redsail.com/,dive@redsailaruba.com,"J.E. Irausquin Blvd 348 A, Palm Beach, Aruba",,,4.0,3101,2025-08-20,TA via aruba.com listing; address/email via PADI + Red Sail site.
Mexico,Aruba,S.E. Aruba Fly 'N Dive,https://se-aruba.com/,info@se-aruba.com,"L.G. Smith Blvd 1A, Oranjestad, Aruba",,,4.0,542,2025-08-20,TA via aruba.com; address/email via PADI + shop site.
Mexico,Aruba,Dive Aruba (Clive),http://www.divearuba.com/,divearuba@setarnet.aw,"Williamstraat #8, Oranjestad, Aruba",,,,285,2025-08-20,TA reviews via TripAdvisor page; address/email via local directories.
Mexico,Aruba,Happy Divers Aruba,https://happydiversaruba.com/,info@happydiversaruba.com,"Palm Beach 33 B Unit 7, Noord, Aruba",,,,,2025-08-20,Address/email via PADI + shop site.
Mexico,Aruba,Aruba Premier Boat & Dive,https://arubapremierboatanddive.com/,arubapremierdive@gmail.com,"Varadero Marina – Bucutiweg 34, Oranjestad, Aruba",4.9,48,,,2025-08-20,Google via Wanderlog; address/email via shop site.
Mexico,Aruba,Palm Beach Divers Aruba,https://www.palmbeachdiversaruba.com/,info@palmbeachdiversaruba.com,"Berea di Piscado 2, Noord, Aruba",4.9,259,,,2025-08-20,Google via Wanderlog; address via dive.site + shop site.
Mexico,Aruba,Scuba Divers Aruba (Mermaid Dive Center),https://scubadiversaruba.com/,info@scubadiversaruba.com,"Bubali #112 J, Noord, Aruba",,,,,2025-08-20,Address/email via shop site.
